id,class_cvp,class_2025,stable_20_,n_matches
1297,1,15,15,30
1298,1,15,15,672
1299,1,15,15,500
1300,1,15,15,662
1301,1,15,15,653
1302,1,15,15,392
1303,1,15,15,653
1304,1,15,15,669
1305,1,15,15,616
1306,1,15,15,445
1307,1,15,15,686
1308,1,15,15,642
1309,1,15,15,678
1310,1,15,15,679
1311,1,15,15,256
1312,1,15,15,680
1313,1,21,15,591
1314,1,15,15,672
1315,1,15,15,674
1316,1,15,15,655
1317,1,15,15,212
1318,1,15,15,585
1319,1,15,15,616
1320,1,15,15,628
1321,1,15,15,162
1322,1,15,15,666
1323,1,15,15,662
1324,1,15,15,414
1325,1,15,15,679
1326,1,15,15,662
1327,1,15,15,665
1328,1,4,4,537
1329,1,15,15,626
1330,1,15,15,660
1331,1,15,15,610
1332,1,15,15,648
1333,1,15,15,671
1334,1,15,15,677
1335,1,15,15,679
1336,1,21,15,65
1337,1,15,15,190
1338,1,15,12,672
1339,1,15,15,633
1340,1,15,15,682
1341,1,15,15,480
1342,1,15,15,685
1343,1,15,15,663
1344,1,15,15,659
1345,1,15,15,475
1346,1,4,4,398
1347,1,15,15,673
1348,1,39,39,650
1349,1,15,15,671
1350,1,15,15,678
1351,1,15,15,681
